placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Ezreal_item2,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_Kayn,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_LeeSin_item2,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nidalee_item1,TFT7_Nidalee_item2,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Sejuani_item1,TFT7_Sejuani_item2,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Senna_item2,TFT7_Sett,TFT7_Sett_item0,TFT7_Sett_item1,TFT7_Sett_item2,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Skarner_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,TFT7_Twitch_item2,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2
3,EUW1_5972673291,TFT6_Augment_TrueTwos,TFT6_Augment_PandorasItems,TFT7_Augment_SwiftshotPressTheAttack,,1.0,,2.0,,,,,,,1.0,,0.0,0.0,,,0.0,,,,,,,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,ThiefsGloves,StatikkShiv,GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,BrambleVest,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,Shroud,,,,,,,,,,,,,,,,,,,,,None,None,,,,,1.0,,,,3.0,MadredsBloodrazor,InfinityEdge,GuinsoosRageblade,,,,,,,,,2.0,LastWhisper,RecurveBow,Bloodthirster,,,,,,,,,,,,
1,EUW1_5972673291,TFT7_Augment_SwiftshotPressTheAttack,TFT7_Augment_BandOfThieves1,TFT6_Augment_PortableForge,1.0,,1.0,1.0,,0.0,,0.0,,,3.0,,0.0,,0.0,0.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Morellonomicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,DragonsClaw,RedBuff,GiantsBelt,,,,,2.0,ThiefsGloves,TitansResolve,ArchangelsStaff,,,,,,,,,,,,,,,,,2.0,TitansResolve,TitansResolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,InfinityEdge,,,,,,,,,,,,,None,None,,,,,2.0,,,,,,,,,,,,,,,,2.0,InfinityEdge,GuinsoosRageblade,OrnnInfinityForce,2.0,TitansResolve,TitansResolve,UnstableConcoction,,,,,,,,
8,EUW1_5972673291,TFT6_Augment_Traitless2,TFT7_Augment_LategameSpecialist,TFT6_Augment_Distancing2,,,,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,,,1.0,MadredsBloodrazor,UnstableConcoction,GuinsoosRageblade,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,GargoyleStoneplate,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,UnstableConcoction,SeraphsEmbrace,LastWhisper,,,,,,,,
6,EUW1_5972673291,TFT7_Augment_FirstAidKit2,TFT6_Augment_Distancing,TFT6_Augment_Diversify2,,1.0,,1.0,,,,0.0,0.0,,1.0,,,2.0,0.0,1.0,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SpearOfShojin,HextechGunblade,JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,RedBuff,GargoyleStoneplate,,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,,,,,,,,,,,,,3.0,ThiefsGloves,RunaansHurricane,Quicksilver,,,,,,,,,1.0,GuardianAngel,,,,,,,,,,
7,EUW1_5972673291,TFT7_Augment_CannoneerRicochet,TFT6_Augment_Featherweights1,TFT6_Augment_ComponentGrabBag,,,,,2.0,,,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,RedBuff,DragonsClaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,GuardianAngel,,,,,,,,,,,,,,,,,,,,,,,2.0,Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,TrainerSnax,None,None,2.0,MadredsBloodrazor,InfinityEdge,GuardianAngel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EUW1_5972673291,TFT6_Augment_TriForce2,TFT6_Augment_SecondWind1,TFT6_Augment_ComponentGrabBag,1.0,1.0,,1.0,,,,,,,3.0,,,1.0,,0.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,GargoyleStoneplate,RedBuff,Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SeraphsEmbrace,,,,,,,,,,,,,,,,,,,,,,,1.0,SeraphsEmbrace,,,,,,,2.0,SpearOfShojin,Chalice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,,,,,,,1.0,,,,,,,,,,,,,,None,None,,,,,2.0,RunaansHurricane,,,3.0,RunaansHurricane,RapidFireCannon,Deathblade,,,,,,,,,,,,,,,,,,,,,,,,
4,EUW1_5972673291,TFT7_Augment_MirageHallucinate,TFT7_Augment_AxiomArc1,TFT6_Augment_Diversify2,,,,,,2.0,1.0,,0.0,0.0,,0.0,,,3.0,0.0,0.0,,,,,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,UnstableConcoction,InfinityEdge,JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,Bloodthirster,RedBuff,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,CavalierEmblemItem,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,SparringGloves,,,,,,
5,EUW1_5972673291,TFT7_Augment_BruiserEmblem,TFT7_Augment_BruiserTrait,TFT6_Augment_Meditation2,,,1.0,2.0,1.0,,,,0.0,,1.0,,0.0,1.0,,0.0,,1.0,,,0.0,1.0,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,UnstableConcoction,InfinityEdge,GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,Redemption,RedBuff,Shroud,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,2.0,PowerGauntlet,BruiserEmblemItem,Chalice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
8,EUW1_5972923973,TFT6_Augment_TriForce1,TFT7_Augment_BestFriends1,TFT6_Augment_Meditation2,,1.0,,1.0,,,,,0.0,,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ArchangelsStaff,MadredsBloodrazor,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,GargoyleStoneplate,Bloodthirster,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
5,EUW1_5972923973,TFT6_Augment_CyberneticUplink1,TFT6_Augment_SecondWind1,TFT6_Augment_CyberneticUplink2,,0.0,1.0,1.0,,,1.0,,0.0,,1.0,,0.0,1.0,,2.0,,,,,0.0,1.0,,,2.0,0.0,,0.0,,,,,,,,,1.0,ArchangelsStaff,UnstableConcoction,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,StatikkShiv,,,,,,,,,,,,,,,,,,,1.0,NegatronCloak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,GargoyleStoneplate,WarmogsArmor,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Shroud,,
